model_name,task,n_shot,performance,metric_name
MultiSynt/nemotron-cc-swedish-tower72b,belebele_swe_Latn,5,0.2311111111111111,"acc,none"
MultiSynt/nemotron-cc-polish-tower9b,global_mmlu_full_pl,5,0.24319897450505626,"acc,none"
MultiSynt/nemotron-cc-french-tower9b,include_base_44_french,0,0.2720763723150358,"acc,none"
HPLT/hplt2c_ita_checkpoints,belebele_ita_Latn,5,0.23222222222222222,"acc,none"
HPLT/hplt2c_fra_checkpoints,global_mmlu_full_fr,5,0.2617148554336989,"acc,none"
HPLT/hplt2c_eus_checkpoints,include_base_44_basque,0,0.266,"acc,none"
MultiSynt/nemotron-cc-french-tower9b,global_mmlu_full_fr,5,0.2594359777809429,"acc,none"
HPLT/hplt2c_deu_checkpoints,mgsm_native_cot_de,5,0.012,"exact_match,strict-match"
HPLT/hplt2c_dan_checkpoints,belebele_dan_Latn,5,0.2411111111111111,"acc,none"
MultiSynt/nemotron-cc-german-tower72b,mgsm_native_cot_de,5,0.028,"exact_match,strict-match"
HPLT/hplt2c_spa_checkpoints,flores200:eng_Latn-spa_Latn,0,20.740552068441602,bleu
HPLT/hplt2c_fin_checkpoints,flores200:eng_Latn-fin_Latn,0,0.9309459130852806,bleu
HPLT/hplt2c_swe_checkpoints,flores200:eng_Latn-swe_Latn,0,18.812423219704428,bleu
HPLT/hplt2c_ron_checkpoints,flores200:ron_Latn-eng_Latn,0,15.625225132681171,bleu
HPLT/hplt2c_ita_checkpoints,flores200:eng_Latn-ita_Latn,0,21.226037733722652,bleu
MultiSynt/nemotron-cc-polish-tower9b,flores200:pol_Latn-eng_Latn,0,1.2564920216827833,bleu
HPLT/hplt2c_por_checkpoints,flores200:eng_Latn-por_Latn,0,35.88872403679909,bleu
HPLT/hplt2c_ita_checkpoints,flores200:ita_Latn-eng_Latn,0,22.98313346115423,bleu
MultiSynt/nemotron-cc-romanian-tower9b,flores200:ron_Latn-eng_Latn,0,1.1584224245277335,bleu
HPLT/hplt2c_pol_checkpoints,flores200:pol_Latn-eng_Latn,0,8.699857874879202,bleu
MultiSynt/nemotron-cc-danish-tower9b,flores200:dan_Latn-eng_Latn,0,1.8208475449864685,bleu
MultiSynt/nemotron-cc-german-tower72b,flores200:eng_Latn-deu_Latn,0,2.0774826987681334,bleu
